"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","997","test_LT_002","NEETprep.TestCase","2025-11-03","passed","2025-11-03","TestLogin","test_loginFlow","",""
"","38601","test_CT_001","NEETprep.TestCase","2025-11-03","broken","2025-11-03","TestCustom","test_custom_practice","",""
"","37167","test_CT_002","NEETprep.TestCase","2025-11-03","broken","2025-11-03","TestCustom","test_custom_practice","",""
"","4530","test_LT_001","NEETprep.TestCase","2025-11-03","passed","2025-11-03","TestLogin","test_loginFlow","",""
